city,lat,lon,temp,cloud,wind speed,humidity,country
acarau,-2.8856,-40.12,25.15,51,4.14,87,BR
fortuna,40.5982,-124.1573,14.75,90,3.6,88,US
muros,42.7762,-9.0603,15.35,20,2.44,90,ES
verkhoshizhemye,58.011,49.1038,15.12,30,1.27,68,RU
santa maria,-29.6842,-53.8069,13.47,4,2.18,94,BR
sao felix do xingu,-6.6447,-51.995,26.47,100,0.82,51,BR
creston,41.0586,-94.3614,25.96,1,2.57,73,US
bowen,-20.0167,148.2333,22.15,4,5.0,69,AU
kurilsk,45.2333,147.8833,11.18,100,5.58,91,RU
berezovyy,51.6667,135.7,27.74,6,2.04,54,RU
caucaia,-3.7361,-38.6531,27.24,75,4.12,77,BR
vaitape,-16.5167,-151.75,26.79,37,4.91,73,PF
bilibino,68.0546,166.4372,11.15,100,2.0,72,RU
alice springs,-23.7,133.8833,11.75,91,3.09,35,AU
bumba,2.1833,22.4667,21.25,99,0.81,87,CD
tokonou,9.65,-9.7833,20.6,84,2.14,97,GN
santa rosa,14.3122,121.1114,29.5,11,3.06,80,PH
lubango,-14.9172,13.4925,12.0,0,1.54,19,AO
okhotsk,59.3833,143.3,15.75,100,3.8,84,RU
nemea,37.8167,22.6667,23.69,0,1.18,60,GR
birjand,32.8663,59.2211,26.07,0,3.07,16,IR
san patricio,28.017,-97.5169,26.04,100,5.36,92,US
mokhsogollokh,61.4681,128.9203,27.42,9,1.12,40,RU
karratha,-20.7377,116.8463,21.25,99,3.72,57,AU
bengkulu,-3.8004,102.2655,24.91,89,1.79,80,ID
marovoay,-16.1,46.6333,21.08,4,1.97,75,MG
klaksvik,62.2266,-6.589,11.51,97,2.37,99,FO
kijang,35.2442,129.2139,24.25,100,3.78,97,KR
faranah,10.0404,-10.7434,21.08,97,1.86,97,GN
sadao,6.6388,100.4234,24.9,100,0.96,94,TH
bluff,-46.6,168.3333,6.33,66,8.27,66,NZ
la ronge,55.1001,-105.2842,16.83,88,1.19,49,CA
hofn,64.2539,-15.2082,12.0,100,3.7,79,IS
maniitsoq,65.4167,-52.9,2.83,70,14.65,85,GL
boa vista,2.8197,-60.6733,27.99,40,2.57,69,BR
lac du bonnet,50.2536,-96.0612,16.99,100,1.17,47,CA
nome,64.5011,-165.4064,10.04,90,5.66,81,US
dunmore town,25.5,-76.65,27.92,100,7.11,78,BS
khlung,12.4547,102.2214,27.73,100,0.23,88,TH
hami,42.8,93.45,34.33,3,5.19,11,CN
elk plain,47.0532,-122.3976,27.82,1,0.89,44,US
grand gaube,-20.0064,57.6608,20.77,10,1.34,84,MU
eggenfelden,48.4054,12.7626,16.87,97,3.1,96,DE
lompoc,34.6391,-120.4579,18.53,90,6.69,79,US
santa cruz,-17.8,-63.1667,23.52,0,5.31,50,BO
baturinskaya,45.7927,39.3707,18.5,67,2.12,89,RU
wonthaggi,-38.6044,145.5913,11.04,98,2.25,68,AU
lamar,33.6668,-95.5836,29.42,0,2.03,73,US
westport,41.1415,-73.3579,21.67,40,0.45,93,US
aykhal,66.0,111.5,20.51,99,5.87,68,RU
waingapu,-9.6567,120.2641,27.48,31,4.57,66,ID
ahipara,-35.1667,173.1667,15.09,100,5.33,79,NZ
seminole,28.7086,-81.2081,27.05,100,0.45,89,US
tallahassee,30.4383,-84.2807,23.08,90,0.45,96,US
fremont,37.5483,-121.9886,21.11,20,0.89,68,US
mahon,39.8885,4.2658,23.31,0,1.54,88,ES
komsomolskiy,40.4272,71.7189,25.4,5,1.03,31,UZ
